t,year,height,station,u2,v2,surge_mm,height - surge,height - surge anomaly,psmsl_id,wind_variant
1878-01-01,1878.0,-57.0,24,5.171547985875474,-2.083627935212727,61.021820132278535,-118.02182013227853,-57.000000000000014,24,Combined
1879-01-01,1879.0,-142.0,24,0.9510728002263368,-1.1830656803914374,61.021820132278535,-203.02182013227855,-142.0,24,Combined
1880-01-01,1880.0,-85.0,24,4.900391393477135,-1.4717093377978934,61.021820132278535,-146.02182013227855,-85.00000000000001,24,Combined
1881-01-01,1881.0,-151.0,24,2.1181594158289774,3.5312268231125414,61.021820132278535,-212.02182013227855,-151.0,24,Combined
1882-01-01,1882.0,-122.0,24,5.281367818677384,2.3063880064497595,61.021820132278535,-183.02182013227855,-122.00000000000001,24,Combined
1883-01-01,1883.0,-170.0,24,6.656918856954235,2.7833945413658867,61.021820132278535,-231.02182013227855,-170.0,24,Combined
1884-01-01,1884.0,-153.0,24,6.040314191225659,-0.03642472695398694,61.021820132278535,-214.02182013227855,-153.0,24,Combined
1885-01-01,1885.0,-147.0,24,3.4854202798484644,1.483375737847872,61.021820132278535,-208.02182013227855,-147.0,24,Combined
1886-01-01,1886.0,-166.0,24,5.49110789358049,0.6773287489163154,61.021820132278535,-227.02182013227855,-166.0,24,Combined
1887-01-01,1887.0,-133.0,24,3.205660199442404,-1.2213024844148395,61.021820132278535,-194.02182013227855,-133.0,24,Combined
1888-01-01,1888.0,-165.0,24,2.081767288096159,0.9103084428995479,61.021820132278535,-226.02182013227855,-165.0,24,Combined
1889-01-01,1889.0,-129.0,24,2.66179474617132,-0.7083251118613619,61.021820132278535,-190.02182013227855,-129.0,24,Combined
1890-01-01,1890.0,-151.0,24,1.5494779184995016,1.8417721262638374,61.021820132278535,-212.02182013227855,-151.0,24,Combined
1891-01-01,1891.0,-127.0,24,2.836393981440562,3.762471432191578,61.021820132278535,-188.02182013227855,-127.00000000000001,24,Combined
1892-01-01,1892.0,-127.0,24,1.145133505836091,-0.12430734362130887,61.021820132278535,-188.02182013227855,-127.00000000000001,24,Combined
1893-01-01,1893.0,-83.0,24,4.023058944037591,0.7957276504645847,61.021820132278535,-144.02182013227855,-83.00000000000001,24,Combined
1894-01-01,1894.0,-116.0,24,1.6307216702047234,0.37610367594761,61.021820132278535,-177.02182013227855,-116.00000000000001,24,Combined
1895-01-01,1895.0,-128.0,24,2.0107678950005647,0.5139460502898205,61.021820132278535,-189.02182013227855,-128.0,24,Combined
1896-01-01,1896.0,-122.0,24,3.961273776360086,-2.059742203747842,61.021820132278535,-183.02182013227855,-122.00000000000001,24,Combined
1897-01-01,1897.0,-122.0,24,3.0541242643262616,3.1259646483156955,61.021820132278535,-183.02182013227855,-122.00000000000001,24,Combined
1898-01-01,1898.0,-65.0,24,8.75577048126332,0.14358573324730148,61.021820132278535,-126.02182013227853,-65.00000000000001,24,Combined
1899-01-01,1899.0,-91.0,24,5.402049636762386,0.8426350286478236,61.021820132278535,-152.02182013227855,-91.00000000000001,24,Combined
1900-01-01,1900.0,-112.0,24,4.376847473220399,1.2200832540298665,61.021820132278535,-173.02182013227855,-112.00000000000001,24,Combined
1901-01-01,1901.0,-130.0,24,2.9809647373388017,-0.11828007091828252,61.021820132278535,-191.02182013227855,-130.0,24,Combined
1902-01-01,1902.0,-161.0,24,2.702942420183668,0.4196979249465836,61.021820132278535,-222.02182013227855,-161.0,24,Combined
1903-01-01,1903.0,-36.0,24,7.020890785533054,5.112815666786725,61.021820132278535,-97.02182013227853,-36.000000000000014,24,Combined
1904-01-01,1904.0,-134.0,24,3.4522409826086697,1.647162967738809,61.021820132278535,-195.02182013227855,-134.0,24,Combined
1905-01-01,1905.0,-196.0,24,4.455042467323273,0.05590977608152081,61.021820132278535,-257.02182013227855,-196.0,24,Combined
1906-01-01,1906.0,-115.0,24,5.7486550759078705,0.4008000794466671,61.021820132278535,-176.02182013227855,-115.00000000000001,24,Combined
1907-01-01,1907.0,-130.0,24,4.7685603263944,1.3271248717003694,61.021820132278535,-191.02182013227855,-130.0,24,Combined
1908-01-01,1908.0,-123.0,24,3.7900849785206066,-0.327908554939871,61.021820132278535,-184.02182013227855,-123.00000000000001,24,Combined
1909-01-01,1909.0,-76.0,24,4.052025924839002,0.22134693497523453,61.021820132278535,-137.02182013227855,-76.00000000000001,24,Combined
1910-01-01,1910.0,-66.0,24,3.945457014397178,0.516702408995353,61.021820132278535,-127.02182013227853,-66.00000000000001,24,Combined
1911-01-01,1911.0,-54.0,24,4.755293545425439,2.522183855518161,61.021820132278535,-115.02182013227853,-54.000000000000014,24,Combined
1912-01-01,1912.0,14.0,24,5.93825937608132,4.48365689095041,61.021820132278535,-47.021820132278535,13.999999999999986,24,Combined
1913-01-01,1913.0,-45.0,24,4.794616907436109,6.185715458411063,61.021820132278535,-106.02182013227853,-45.000000000000014,24,Combined
1914-01-01,1914.0,-40.0,24,3.6684408502872046,13.31193087821623,61.021820132278535,-101.02182013227853,-40.000000000000014,24,Combined
1915-01-01,1915.0,-80.0,24,7.13254794327056,9.537514630989149,61.021820132278535,-141.02182013227855,-80.00000000000001,24,Combined
1916-01-01,1916.0,-9.0,24,10.452703429619831,10.312268593645117,61.021820132278535,-70.02182013227853,-9.000000000000014,24,Combined
1917-01-01,1917.0,-73.0,24,5.682999374249399,8.024426796905674,61.021820132278535,-134.02182013227855,-73.00000000000001,24,Combined
1918-01-01,1918.0,-87.0,24,3.442588800769595,8.549500558876721,61.021820132278535,-148.02182013227855,-87.00000000000001,24,Combined
1919-01-01,1919.0,-112.0,24,2.882021985568251,0.8976357985120168,61.021820132278535,-173.02182013227855,-112.00000000000001,24,Combined
1920-01-01,1920.0,-85.0,24,2.486026381057108,7.236571875436319,61.021820132278535,-146.02182013227855,-85.00000000000001,24,Combined
1921-01-01,1921.0,-17.0,24,6.602897427676268,0.6237593513842147,61.021820132278535,-78.02182013227853,-17.000000000000014,24,Combined
1922-01-01,1922.0,-76.0,24,3.3211849339402506,2.278588820034108,61.021820132278535,-137.02182013227855,-76.00000000000001,24,Combined
1923-01-01,1923.0,-52.0,24,7.869911123052187,3.388639951132894,61.021820132278535,-113.02182013227853,-52.000000000000014,24,Combined
1924-01-01,1924.0,-87.0,24,2.5682986624490938,7.206849211273361,61.021820132278535,-148.02182013227855,-87.00000000000001,24,Combined
1925-01-01,1925.0,-5.0,24,6.942278548319252,2.0830971758069285,61.021820132278535,-66.02182013227853,-5.000000000000014,24,Combined
1926-01-01,1926.0,-17.0,24,3.869242648322448,3.0534844858157464,61.021820132278535,-78.02182013227853,-17.000000000000014,24,Combined
1927-01-01,1927.0,-43.0,24,4.454131143143898,3.074488495712206,61.021820132278535,-104.02182013227853,-43.000000000000014,24,Combined
1928-01-01,1928.0,-30.0,24,5.607219162480089,3.507214464184092,61.021820132278535,-91.02182013227853,-30.000000000000014,24,Combined
1929-01-01,1929.0,-69.0,24,4.364497169123151,4.652090332649321,61.021820132278535,-130.02182013227855,-69.00000000000001,24,Combined
1930-01-01,1930.0,-47.0,24,3.8745512920690204,4.216997704106826,61.021820132278535,-108.02182013227853,-47.000000000000014,24,Combined
1931-01-01,1931.0,-17.0,24,5.006830691987454,2.6955627356401073,61.021820132278535,-78.02182013227853,-17.000000000000014,24,Combined
