# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# predicted_broken_linear -> fitted sea surface height based on broken linear model [mm relative to NAP(2005)] 
# predicted_broken_linear_ci_025 -> fitted sea surface height based on broken linear model, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_ci_975']  -> fitted sea surface height based on broken linear model, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_pi_025']  -> fitted sea surface height based on broken linear model, 2.5% prediction interval [mm relative to NAP(2005)] 
# predicted_broken_linear_pi_975']  -> fitted sea surface height based on broken linear model, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
t,year,height,u2,v2,surge_mm,station,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,predicted_broken_linear,predicted_broken_linear_ci_025,predicted_broken_linear_ci_975,predicted_broken_linear_pi_025,predicted_broken_linear_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
1916-01-01,1916.0,-86.2,6.343871,2.392497,44.512700279247234,10001,-130.71270027924723,-86.2,-139.7544437795142,-141.15242937291657,-135.3322896278929,-143.716089137802,-126.94849011798378,-179.2536125994811,-91.41096665630468,-138.31412026310227,-148.44914087373078,-128.17909965247375,-178.1840526624248,-98.44418786377975,-3.725540979560675,-2.9276564075933678,1916-01-01
1917-01-01,1917.0,-138.8,6.343871,2.392497,44.512700279247234,10001,-183.31270027924725,-138.8,-141.7320239676156,-143.01178351528714,-133.46722895754417,-141.74402759214692,-125.19043032294141,-177.36825301154516,-89.56620490354318,-140.2305264812405,-150.51029136817593,-129.95076159430508,-180.13749871516666,-100.32355424731435,-7.503452394610134,-6.621480498938801,1917-01-01
1918-01-01,1918.0,-140.4,6.343871,2.392497,44.512700279247234,10001,-184.91270027924725,-140.4,-142.77671286890876,-144.02418315347674,-131.60216828719547,-139.77259367342674,-123.43174290096418,-175.48326180529486,-87.72107476909608,-141.39953104504815,-151.8018346249509,-130.9972274651454,-181.33824392512406,-101.46081816497225,-10.434409305478653,-9.567902935953642,1918-01-01
1919-01-01,1919.0,-162.0,6.343871,2.392497,44.512700279247234,10001,-206.51270027924724,-162.0,-142.5600716027111,-143.85879562184428,-129.73710761684674,-137.80181221682955,-121.67240301686394,-173.59863948290445,-85.87557575078904,-141.48855561284856,-151.95772931753856,-131.01938190815855,-181.4447374225217,-101.5323738031754,-12.187579046525089,-11.434345376961195,1919-01-01
1920-01-01,1920.0,-162.0,6.343871,2.392497,44.512700279247234,10001,-206.51270027924724,-162.0,-140.8960343201705,-142.31773134494046,-127.87204694649806,-135.83170922053932,-119.9123846724568,-171.71438653814175,-84.02970735485438,-140.28692491823472,-150.73914556608239,-129.83470427038705,-180.23866809947745,-100.33518173699198,-12.565072042300164,-12.01013255555455,1920-01-01
1921-01-01,1921.0,-139.8,6.343871,2.392497,44.512700279247234,10001,-184.31270027924725,-139.8,-137.76191044436365,-139.35838068439426,-126.00698627614933,-133.86231190195303,-118.15166065034563,-169.8305034563075,-82.18346909599116,-137.72964680576777,-148.06583208742572,-127.39346152410982,-177.65118977351196,-97.80810383802358,-11.52427865443289,-11.230272316294782,1921-01-01
1922-01-01,1922.0,-136.4,6.343871,2.392497,44.512700279247234,10001,-180.91270027924725,-136.4,-133.30094587616753,-135.09822351499102,-124.14192560580064,-131.89364875596678,-116.39020245563451,-167.9469907141763,-80.33686049742496,-133.90474824057472,-144.0282820279019,-123.78121445324753,-173.77176221317916,-94.03773426797028,-9.18267875770852,-9.182791624308916,1922-01-01
1923-01-01,1923.0,-114.4,6.343871,2.392497,44.512700279247234,10001,-158.91270027924725,-114.4,-127.80615406900021,-129.80156864755818,-122.27686493545194,-129.92574961526216,-114.62798025564172,-166.0638487799376,-78.48988109096629,-129.04333923749977,-138.87853353666415,-119.20814493833538,-168.83811167875137,-89.24856679624816,-5.804581162954578,-6.098800494441134,1923-01-01
1924-01-01,1924.0,-138.6,6.343871,2.392497,44.512700279247234,10001,-183.11270027924724,-138.6,-121.68724204485896,-123.84971989039269,-120.41180426510321,-127.95864571249365,-112.86496281771278,-164.181078113138,-76.64253041706843,-123.49352624687124,-133.00016311050533,-113.98688938323716,-163.2083724785475,-83.778680015195,-1.7712896784679848,-2.326405377019779,1924-01-01
1925-01-01,1925.0,-89.2,6.343871,2.392497,44.512700279247234,10001,-133.71270027924723,-89.2,-115.4243645878001,-117.69793626425071,-118.54674359475452,-125.99236974423754,-111.1011174452715,-162.29867916462476,-74.79480802488428,-117.68111953151502,-126.86069068397643,-108.50154837905362,-157.318947338949,-78.04329172408107,2.461936674995073,1.7085834651292586,1925-01-01
