# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
t,year,height,u2,v2,surge_mm,station,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
1940-01-01,1940.0,-98.0,6.343871,2.392497,44.512700279247234,10001,-142.51270027924724,-98.0,-101.46549193346603,-102.14239697142804,-90.57083353952386,-96.62507298813959,-84.51659409090813,-134.10758046270803,-47.0340866163397,-10.760883122365723,-10.578540850672283,1940-01-01
1941-01-01,1941.0,-130.2,6.343871,2.392497,44.512700279247234,10001,-174.71270027924723,-130.2,-96.56238936890806,-97.44252963026119,-88.70577286917516,-94.67794259615052,-82.73360314219981,-132.23118301773104,-45.18036272061927,-7.979573053877781,-8.095367730768988,1941-01-01
1942-01-01,1942.0,-115.8,6.343871,2.392497,44.512700279247234,10001,-160.31270027924722,-115.8,-90.77246879283699,-91.84196551859476,-86.84071219882644,-92.73248282684884,-80.94894157080404,-130.35516357403554,-43.326260823617325,-4.297566214890243,-4.698427480484341,1942-01-01
1943-01-01,1943.0,-69.2,6.343871,2.392497,44.512700279247234,10001,-113.71270027924723,-69.2,-84.53874997810017,-85.75631229443772,-84.97565152847774,-90.78876299803127,-79.16254005892421,-128.47952241728103,-41.471780639674456,-0.13047026341209067,-0.7711507786721206,1943-01-01
1944-01-01,1944.0,-63.4,6.343871,2.392497,44.512700279247234,10001,-107.91270027924723,-63.4,-78.35434656066526,-79.6559321990423,-83.11059085812902,-88.84685468752903,-77.374327028729,-126.60425982353931,-39.61692189271873,4.051352559304416,3.2431698052160542,1944-01-01
1945-01-01,1945.0,-73.6,6.343871,2.392497,44.512700279247234,10001,-118.11270027924724,-73.6,-72.70680568581346,-74.01284977379571,-81.24553018778032,-86.9068316655601,-75.58422871000053,-124.7293760592591,-37.76168431630153,7.775877711872113,6.891416596682449,1945-01-01
1946-01-01,1946.0,-81.2,6.343871,2.392497,44.512700279247234,10001,-125.71270027924723,-81.2,-68.02307597368669,-69.24747194447102,-79.3804695174316,-84.96876980132303,-73.79216923354018,-122.85487138123132,-35.906067653631894,10.622698268517917,9.76179261349846,1946-01-01
1947-01-01,1947.0,-133.8,6.343871,2.392497,44.512700279247234,10001,-178.31270027924725,-133.8,-64.62131556205681,-65.68113445976674,-77.5154088470829,-83.03274694098026,-71.99807075318553,-120.98074603655587,-34.05007165760993,12.270478480543293,11.530303277130963,1947-01-01
1948-01-01,1948.0,-65.2,4.387522,5.4108086,44.512700279247234,10001,-109.71270027924723,-65.2,-78.25162979189517,-63.49983101952667,-75.65034817673418,-81.09884275419334,-70.20185359927503,-119.10700026260952,-32.19369609085885,12.533224648104461,11.997327400760463,1948-01-01
1949-01-01,1949.0,-53.2,8.470212,1.8927959,44.512700279247234,10001,-97.71270027924723,-53.2,-46.525410243117456,-62.73321917848281,-73.78528750638547,-79.16713854646761,-68.40343646630333,-117.23363428701504,-30.336940725755902,11.381279216469416,11.110149492335161,1949-01-01
