# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,t,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
58,1920-01-01,1920.0,-162.0,6.3112593,2.3649986,0.04513845848196298,-116.90667997651899,-96.07283088436529,-98.98046082238835,-83.55588824748465,-89.48689102403728,-77.62488547093201,-128.8120933371983,-38.299683157771,-12.516942636880644,1920-01-01
59,1921-01-01,1921.0,-139.8,6.3112593,2.3649986,0.04513845848196298,-94.706679976519,-93.10693764498285,-96.22593476136387,-81.68172858335033,-87.5350430885297,-75.82841407817097,-126.9278178716335,-36.43563929506718,-11.42520906163254,1921-01-01
60,1922-01-01,1922.0,-136.4,6.3112593,2.3649986,0.04513845848196298,-91.30667997651899,-88.85142040759794,-92.00982278267487,-79.80756891921602,-85.58384152940164,-74.03129630903041,-125.04375609777838,-34.57138174065367,-9.043851488381927,1922-01-01
61,1923-01-01,1923.0,-114.4,6.3112593,2.3649986,0.04513845848196298,-69.30667997651899,-83.57507564304291,-86.59127474689402,-77.93340925508171,-83.63331255666388,-72.23350595349955,-123.15990815599307,-32.70691035417036,-5.6416663879611955,1923-01-01
62,1924-01-01,1924.0,-138.6,6.3112593,2.3649986,0.04513845848196298,-93.50667997651898,-77.66192604424884,-80.3651658555417,-76.0592495909474,-81.68348356875836,-70.43501561313644,-121.27627418372563,-30.842224998169172,-1.6026764533014388,1924-01-01
63,1925-01-01,1925.0,-89.2,6.3112593,2.3649986,0.04513845848196298,-44.10667997651899,-71.56787384629345,-73.81752499087848,-74.18508992681309,-79.7343832004209,-68.63579665320529,-119.39285431550253,-28.97732553812365,2.6172160805196425,1925-01-01
64,1926-01-01,1926.0,-108.2,6.3112593,2.3649986,0.04513845848196298,-63.10667997651899,-65.76924072095093,-67.47067405585872,-72.31093026267878,-77.78604137072247,-66.83581915463509,-117.5096486829191,-27.112211842438462,6.541689541727845,1926-01-01
65,1927-01-01,1927.0,-102.0,6.3112593,2.3649986,0.04513845848196298,-56.90667997651899,-60.70900282102493,-61.82427072817611,-70.43677059854447,-75.8384893309395,-65.03505186614944,-115.62665741463039,-25.24688378245856,9.727767777519539,1927-01-01
66,1928-01-01,1928.0,-89.2,6.3112593,2.3649986,0.04513845848196298,-44.10667997651899,-56.746789710423165,-57.29890944572762,-68.56261093441016,-73.891759711838,-63.23346215698232,-113.74388063634206,-23.38134123247827,11.815821223986992,1928-01-01
67,1929-01-01,1929.0,-144.4,6.3112593,2.3649986,0.04513845848196298,-99.30667997651899,-54.11829106617039,-54.18864667966456,-66.68845127027585,-71.94588656988566,-61.431015970666046,-111.86131847080156,-21.51558406975014,12.570160204105452,1929-01-01
