# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
43,1933,-135.66666666666666,3.3483374,0.7076815,0.04778568535266118,-135.66666666666666,-92.27958414403977,-92.21621954466839,-94.73935184458183,-99.83307755133515,-89.64562613782851,-141.8291343390682,-47.64956935009548,2.459767700542062,1933-01-01
44,1934,-121.0,3.3483374,0.7076815,0.04778568535266118,-121.0,-94.32238636271579,-94.64102992681815,-92.82102425497801,-97.84770435025102,-87.794344159705,-139.90360156954955,-45.73844694040646,-1.501362107737787,1934-01-01
45,1935,-73.66666666666667,3.3483374,0.7076815,0.04778568535266118,-73.66666666666667,-96.19572187024582,-96.92499350934861,-90.9026966653742,-95.8635818039441,-85.94181152680429,-137.97829496386083,-43.82709836688756,-5.293025204871622,1935-01-01
46,1936,-59.333333333333336,3.3483374,0.7076815,0.04778568535266118,-59.333333333333336,-97.47160552464892,-98.59083282348941,-88.98436907577037,-93.88076032946417,-84.08797782207658,-136.0532146226036,-41.91552352893714,-8.48723644887856,1936-01-01
47,1937,-74.83333333333333,3.3483374,0.7076815,0.04778568535266118,-74.83333333333333,-97.78948974620569,-99.2310413679827,-87.06604148616655,-91.8992920107835,-82.23279096154961,-134.12836064317477,-40.00372232915833,-10.723448260039124,1937-01-01
48,1938,-61.166666666666664,3.3483374,0.7076815,0.04778568535266118,-61.166666666666664,-96.8969614367633,-98.55388103114603,-85.14771389656273,-89.91923056649762,-80.37619722662785,-132.20373311975948,-38.09169467336601,-11.749247540200559,1938-01-01
49,1939,-96.83333333333333,3.3483374,0.7076815,0.04778568535266118,-96.83333333333333,-94.67823318607016,-96.4163121202423,-83.22938630695892,-87.94063130191708,-78.51814131200075,-130.27933214332427,-36.179440470593576,-11.448846879111246,1939-01-01
50,1940,-89.5,3.3483374,0.7076815,0.04778568535266118,-89.5,-91.16721281143333,-92.8401390109314,-81.3110587173551,-85.96355104371803,-76.65856639099216,-128.3551578016107,-34.26695963309949,-9.85615409407823,1940-01-01
51,1941,-125.0,3.3483374,0.7076815,0.04778568535266118,-125.0,-86.54367600237795,-88.00954897163993,-79.39273112775128,-83.98804805528837,-74.79741420021418,-126.43121017912901,-32.354252076373534,-7.150944874626664,1941-01-01
52,1942,-109.5,3.3483374,0.7076815,0.04778568535266118,-109.5,-81.11297408422352,-82.25032196880794,-77.47440353814746,-82.01418193091595,-72.93462514537896,-124.50748935715194,-30.441317719142965,-3.6385705460760756,1942-01-01
53,1943,-59.333333333333336,3.3483374,0.7076815,0.04778568535266118,-59.333333333333336,-75.27156739302454,-75.99305815265976,-75.55607594854364,-80.0420134670209,-71.07013843006638,-122.58399541370896,-28.52815648337831,0.28450855551908605,1943-01-01
54,1944,-49.333333333333336,3.3483374,0.7076815,0.04778568535266118,-49.333333333333336,-69.46227469281297,-69.72457373238862,-73.63774835893982,-78.07160450875023,-69.2038922091294,-120.66072842358061,-26.614768294299026,4.175473666126846,1944-01-01
55,1945,-57.666666666666664,3.3483374,0.7076815,0.04778568535266118,-57.666666666666664,-64.12428987097951,-63.932951446340155,-71.719420769336,-76.10301777043416,-67.33582376823783,-118.73768845829312,-24.701153080378866,7.595130898356488,1945-01-01
56,1946,-68.5,3.3483374,0.7076815,0.04778568535266118,-68.5,-59.64360779272417,-59.052448072327124,-69.80109317973218,-74.13631662866277,-65.46586973080159,-116.8148755861133,-22.787310773351052,10.157485387008018,1946-01-01
57,1947,-129.16666666666666,3.3483374,0.7076815,0.04778568535266118,-129.16666666666666,-56.30945501155054,-55.41447755984666,-67.88276559012836,-72.1715648870848,-63.593966293171924,-114.89228987204348,-20.87324130821323,11.573310578577827,1947-01-01
58,1948,-56.0,2.858907,2.7578495,0.04778568535266118,-56.0,-54.05669184206027,-53.21020257827533,-65.96443800052454,-70.20882651246427,-61.72004948858481,-112.96993137781693,-18.958944623232142,11.682794767724205,1948-01-01
59,1949,-42.166666666666664,5.30343,0.3216679,0.04778568535266118,-42.166666666666664,-44.17231588409404,-52.46895697158132,-64.04611041092072,-68.24816534205779,-59.84405547978365,-111.04780016189336,-17.044420659948074,10.473579892816664,1949-01-01
60,1950,-43.166666666666664,3.816473,1.2771947,0.04778568535266118,-43.166666666666664,-50.921205792063276,-53.05493469163575,-62.12778282131691,-66.28964476299595,-57.96592087963788,-109.12589627945468,-15.129669363179154,8.082156455955422,1950-01-01
61,1951,-58.5,1.5250143,1.7796398,0.04778568535266118,-58.5,-63.25804959278732,-54.68251894779726,-60.20945523171309,-64.33332736505997,-56.085583098366214,-107.20421978240095,-13.214690681025232,4.778457115433674,1951-01-01
62,1952,-34.166666666666664,3.4400055,-0.038776625,0.04778568535266118,-34.166666666666664,-57.87624063817513,-56.94852129028075,-58.291127642109274,-62.37927456902971,-54.202980715188836,-105.28277071934676,-11.299484564871783,0.9353879536468273,1952-01-01
63,1953,-73.16666666666667,2.9387922,0.068978846,0.04778568535266118,-73.16666666666667,-62.304822782661745,-59.37769163082799,-56.372800052505454,-60.42754623362193,-52.318053871388976,-103.3615491356176,-9.384050969393314,-3.013263412015502,1953-01-01
64,1954,-45.5,4.9915295,1.3730129,0.04778568535266118,-45.5,-51.86945444742986,-61.47636224305491,-54.454472462901634,-58.4782002449172,-50.43074468088607,-101.44055507324656,-7.468389852556712,-6.621791740324609,1954-01-01
65,1955,-36.333333333333336,1.7126894,-0.22835702,0.04778568535266118,-36.333333333333336,-71.54486385590626,-62.78817065938504,-52.5361448732978,-56.531292093056365,-48.540997653539236,-99.51978857097134,-5.552501175624265,-9.482883282835664,1955-01-01
66,1956,-93.83333333333333,1.9961176,0.00010640376,0.04778568535266118,-93.83333333333333,-69.67913686755911,-62.94557172538475,-50.61781728369398,-54.58687444183883,-46.64876012554913,-97.59924966423145,-3.636384903156511,-11.273591448917344,1956-01-01
67,1957,-60.833333333333336,2.2547548,0.18520932,0.04778568535266118,-60.833333333333336,-66.72378109168842,-61.71132437247354,-48.69948969409016,-52.64499669763136,-44.75398269054896,-95.67893838516557,-1.7200410030147637,-11.791789501812326,1957-01-01
68,1958,-50.666666666666664,2.2449813,0.16877212,0.04778568535266118,-50.666666666666664,-64.06388085090516,-59.00527027673912,-46.78116210448634,-50.705704584656495,-42.85661962431619,-93.75885476260925,0.19653055363655625,-10.978985676413604,1958-01-01
69,1959,-93.16666666666667,0.14023231,0.20452766,0.04778568535266118,-93.16666666666667,-70.71451188408943,-54.913381754481364,-44.86283451488253,-48.76903973422559,-40.956629295539464,-91.8389988220928,2.1133297923277468,-8.926925455298147,1959-01-01
70,1960,-54.833333333333336,0.3921,0.10180432,0.04778568535266118,-54.833333333333336,-64.59543734222041,-49.67805761048381,-42.94450692527871,-46.83503929577525,-39.053974554782165,-89.91937058583949,4.030356735282076,-5.867235769073645,1960-01-01
71,1961,12.833333333333334,3.1401722,0.21283843,0.04778568535266118,12.833333333333334,-44.87963887572411,-43.67076229813313,-41.02617933567489,-44.90373557761845,-37.14862309373133,-87.99997007276389,5.947611401414115,-2.1452800351191583,1961-01-01
72,1962,-39.666666666666664,3.64171,-0.080028,0.04778568535266118,-39.666666666666664,-36.841602335190764,-37.35009675463036,-39.10785174607106,-42.9751557251093,-35.24054776703282,-86.08079729847046,7.865093806328332,1.8188248447109965,1962-01-01
73,1963,-97.0,0.13734382,0.23429382,0.04778568535266118,-97.0,-48.512003747656514,-31.210033678706047,-37.18952415646724,-41.04932144342807,-33.329726869506416,-84.1618522752525,9.782803962318006,5.577629309008339,1963-01-01
74,1964,-76.5,0.9963379,-0.014845495,0.04778568535266118,-76.5,-39.43931987891786,-25.724160209839205,-35.27119656686342,-39.12624877142185,-31.416144362304998,-82.24313501209117,11.700741878364326,8.70685714411168,1964-01-01
75,1965,-21.833333333333332,2.9756753,-0.057570618,0.04778568535266118,-21.833333333333332,-25.39839825794738,-21.29222163376642,-33.352868977259604,-37.20594791190486,-29.49979004261435,-80.32464551465492,13.618907560135703,10.853295792631723,1965-01-01
76,1966,7.666666666666667,2.8802073,0.040577345,0.04778568535266118,7.666666666666667,-22.913063770682434,-18.195000010015725,-31.434541387655784,-35.28842312256135,-27.580659652750217,-78.406383785299,15.537301009987424,11.774665329847682,1966-01-01
77,1967,35.166666666666664,9.196815,1.3286175,0.04778568535266118,35.166666666666664,12.314031641424773,-16.56262081030392,-29.51621379805196,-33.373672670154946,-25.658754925948976,-76.48834982306533,17.455922226961416,11.366965884963985,1967-01-01
78,1968,-29.333333333333332,0.8533681,0.012949069,0.04778568535266118,-29.333333333333332,-31.48463015334565,-16.359864965767226,-27.59788620844814,-31.461688849188075,-23.734083567708208,-74.57054362368261,19.37477120678633,9.67621665861478,1968-01-01
79,1969,-43.0,0.55541885,-0.0097845225,0.04778568535266118,-43.0,-33.88945663992386,-17.3901442302259,-25.67955861884432,-29.552458064544822,-21.80665917314382,-72.65296517956654,21.29384794187789,6.893261491393436,1969-01-01
