# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind_last_tide  -> fitted sea surface height based on linear model with wind and nodal tide at epoch   [mm relative to NAP(2005)]
year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind_last_tide,date
1958,-50.666666666666664,2.2449813,0.16877215,-70.4064344779542,-60.00281315993617,3.040030966345939,1958-01-01
1959,-93.16666666666667,0.14023231,0.20452765,-89.61558543958768,-56.191237630122345,4.896563868189369,1959-01-01
1960,-54.833333333333336,0.39210004,0.10180432,-82.38667423061503,-51.13615497686474,6.753096770032809,1960-01-01
1961,12.833333333333334,3.1401722,0.21283843,-46.955110294634125,-45.190855973566094,8.609629671876247,1961-01-01
1962,-39.666666666666664,3.64171,-0.080028,-36.383749914297724,-38.809114838810316,10.466162573719684,1962-01-01
1963,-97.0,0.13734382,0.23429385,-68.66689035779336,-32.49396933143075,12.322695475563117,1963-01-01
1964,-76.5,0.996338,-0.014845498,-54.836432987173986,-26.740940208273035,14.179228377406554,1964-01-01
1965,-21.833333333333332,2.9756749,-0.057570625,-29.36070831936009,-21.98209916587658,16.03576127924999,1965-01-01
1966,7.666666666666667,2.8802073,0.040577337,-27.408832993923294,-18.53729861441487,17.892294181093423,1966-01-01
1967,35.166666666666664,9.196815,1.3286175,45.07667588123636,-16.578068238208857,19.74882708293686,1967-01-01
1968,-29.333333333333332,0.853368,0.012949069,-47.5688455713606,-16.10825352968491,21.60535998478029,1968-01-01
1969,-43.0,0.55541885,-0.009784522,-51.51725843280307,-16.963581728230682,23.461892886623726,1969-01-01
1970,-9.833333333333334,4.2492,0.08066217,-12.538626669649116,-18.83020415873448,25.31842578846716,1970-01-01
1971,-60.166666666666664,1.1129643,-0.005539008,-48.67774332139459,-21.28012199762438,27.174958690310596,1971-01-01
1972,-88.33333333333333,0.33752108,0.5689417,-58.01427369591149,-23.819496772135025,29.03149159215403,1972-01-01
1973,-20.5,5.2323146,-0.33183584,-7.447043437062295,-25.94439253029155,30.888024493997467,1973-01-01
1974,-16.666666666666668,4.475806,0.34382138,-15.18278199673626,-27.19765776697474,32.7445573958409,1974-01-01
1975,-52.0,1.3508413,-0.021781223,-49.31270901960899,-27.22052654111236,34.60109029768433,1975-01-01
1976,-75.5,0.50272703,-0.014485825,-56.811234213909245,-25.793114291972504,36.45762319952777,1976-01-01
1977,-24.166666666666668,3.4437194,0.48148364,-20.997676751783356,-22.859237376800074,38.3141561013712,1977-01-01
1978,-31.833333333333332,3.2926567,0.1732222,-19.05015918341052,-18.53275481682784,40.17068900321464,1978-01-01
1979,-22.333333333333332,2.9034595,0.9794639,-17.072868314219257,-13.084716425124384,42.02722190505807,1979-01-01
1980,5.0,3.2153962,0.05390751,-9.685083695537415,-6.912767975313386,43.88375480690151,1980-01-01
1981,39.0,4.775985,0.022679903,12.835188152073178,-0.4962668121849667,45.740287708744944,1981-01-01
1982,15.333333333333334,3.0092428,1.2455628,0.7620473517978219,5.6578257565000065,47.596820610588374,1982-01-01
1983,52.833333333333336,4.976384,0.5348254,25.629714675775517,11.072167874042815,49.45335351243181,1983-01-01
1984,-9.5,2.5496292,0.3237051,2.396323115542174,15.35291724416242,51.30988641427525,1984-01-01
1985,-6.5,3.1703155,0.7953676,12.270635085655766,18.234186201705533,53.166419316118684,1985-01-01
1986,-13.0,3.5693567,0.817585,17.769225424861315,19.608053864888607,55.022952217962114,1986-01-01
1987,-20.5,1.8130171,0.13053775,-2.5132443280876657,19.536747738127424,56.87948511980555,1987-01-01
1988,55.833333333333336,7.3239822,0.3801851,56.95244425242676,18.24561976327633,58.73601802164899,1988-01-01
1989,17.833333333333332,3.806406,0.5001768,17.175825140100386,16.09770964966051,60.592550923492425,1989-01-01
1990,54.333333333333336,8.797221,1.2276878,70.86899117801272,13.552766654872581,,1990-01-01
1991,-48.0,2.5177867,0.22128223,-0.843578211205795,11.115355245469253,,1991-01-01
1992,-2.6666666666666665,4.6363235,0.46046934,21.538619117897987,9.27790222712883,,1992-01-01
