# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
55,1917,-127.83333333333333,3.3570893,0.71686864,-130.38291791796428,-133.92548373088047,-123.36340813014108,-129.7413022583227,-116.98551400195947,-169.77181784368594,-76.95499841659623,1917-01-01
56,1918,-131.5,3.3570893,0.71686864,-131.08471094332174,-135.40911552783683,-121.4950699742928,-127.78841661348797,-115.20172333509764,-167.891935930422,-75.09820401816361,1918-01-01
57,1919,-153.66666666666666,3.3570893,0.71686864,-130.70407028548135,-135.64043876099265,-119.6267318184445,-125.83617242483137,-113.41729121205762,-166.01229111521485,-73.24117252167416,1919-01-01
58,1920,-149.16666666666666,3.3570893,0.71686864,-129.07307163033659,-134.37457933665232,-117.75839366259619,-123.88459604905266,-111.63219127613972,-164.13288357148656,-71.38390375370581,1920-01-01
59,1921,-119.33333333333333,3.3570893,0.71686864,-126.16492520851598,-131.53565811553068,-115.89005550674791,-121.93371507920936,-109.84639593428646,-162.2537134691839,-69.52639754431192,1921-01-01
60,1922,-126.33333333333333,3.3570893,0.71686864,-122.09699969886698,-127.22535579401186,-114.0217173508996,-119.98355839945049,-108.05987630234873,-160.37478097476526,-67.66865372703396,1922-01-01
61,1923,-104.0,3.3570893,0.71686864,-117.1175742026176,-121.71143566417192,-112.1533791950513,-118.03415624072895,-106.27260214937365,-158.4960862511882,-65.81067213891441,1923-01-01
62,1924,-130.0,3.3570893,0.71686864,-111.57781366322048,-115.39751974956928,-110.28504103920302,-116.08554023721636,-104.48454184118968,-156.6176294578971,-63.95245262050895,1924-01-01
63,1925,-75.16666666666667,3.3570893,0.71686864,-105.89213101501117,-108.77752984480077,-108.41670288335472,-114.13774348308299,-102.69566228362645,-154.73941075081092,-62.0939950158985,1925-01-01
64,1926,-93.0,3.3570893,0.71686864,-100.4914101953806,-102.37993594054015,-106.54836472750641,-112.19080058923548,-100.90592886577734,-152.86143028231155,-60.23529917270128,1926-01-01
