,t,name,psmsl_id,ddl_id,latitude,longitude,station_name,surge
1,1980-04-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.028149853
0,1980-05-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.08855415
1,1980-05-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.11279198
2,1980-05-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.12697546
3,1980-05-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.0802256
4,1980-05-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.09989505
5,1980-05-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.06231654
3,1980-06-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.058492646
4,1980-06-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.0653414
2,1980-06-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.080632836
5,1980-06-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.054715667
0,1980-06-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.07748267
1,1980-06-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.06561882
0,1980-07-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.056044064
1,1980-07-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.06197461
2,1980-07-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.06377088
3,1980-07-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.073977135
4,1980-07-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.07212561
5,1980-07-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.07566558
0,1980-08-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.1046541
1,1980-08-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.07001077
2,1980-08-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.09535776
3,1980-08-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.059294812
4,1980-08-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.06799957
5,1980-08-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.05108425
0,1980-09-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.060090806
1,1980-09-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.040356655
2,1980-09-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.06873732
